visit_id,site_nr,sitename,element_type,visited,result,element_text,element_css,iframe_css,location_x,location_y,text_color,background_color,width,height,font_size
379661073491,54227,invoicehome.com,0,1,No cookie dialog found during visit,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
832359397703,56010,myworldgo.com,0,1,Normal visit,This website uses cookies to ensure you get the best experience on our website. To learn more about our privacy policy Click here Privacy Preferences I Agree,,,0,869,"rgba(85, 85, 85, 1)","rgba(0, 0, 0, 0.9)",1787,40,40
832359397703,56010,myworldgo.com,1,1,Normal visit,I Agree,button,,1702,884,"rgba(255, 255, 255, 1)","rgba(97, 157, 190, 1)",102.125,34,34
198161000527,57053,goodyear.eu,0,1,Normal visit,"By clicking “Accept All Cookies”, you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and assist in our marketing efforts. Cookies Settings Reject All Accept All Cookies",,,634,93,"rgba(39, 39, 39, 1)","rgba(0, 0, 0, 0)",650,176.047,176.047
198161000527,57053,goodyear.eu,1,1,Normal visit,Accept All Cookies,button,,1119,192,"rgba(0, 33, 105, 1)","rgba(255, 221, 0, 1)",135,41.9219,41.9219
411710563636,57053,goodyear.eu,2,1,Normal visit,Reject All,button,,970,192,"rgba(0, 33, 105, 1)","rgba(255, 221, 0, 1)",135,41.9219,41.9219
222639265689,57053,goodyear.eu,3,1,Normal visit,Cookies Settings,button.cookie-setting-link,,664,192,"rgba(255, 255, 255, 1)","rgba(0, 33, 105, 1)",135,39.9219,39.9219
790276669818,58830,cctvpic.com,0,1,Message: unknown error: net::ERR_CONNECTION_RESET   (Session info: chrome=134.0.6998.119) Stacktrace: 	GetHandleVerifier [0x00007FF715244C25+3179557] 	(No symbol) [0x00007FF714EA88A0] 	(No symbol) [0x00007FF714D391CA] 	(No symbol) [0x00007FF714D35B57] 	(No symbol) [0x00007FF714D268E9] 	(No symbol) [0x00007FF714D28658] 	(No symbol) [0x00007FF714D26BF6] 	(No symbol) [0x00007FF714D26676] 	(No symbol) [0x00007FF714D2633A] 	(No symbol) [0x00007FF714D23EC2] 	(No symbol) [0x00007FF714D247AC] 	(No symbol) [0x00007FF714D3D01A] 	(No symbol) [0x00007FF714DE11AE] 	(No symbol) [0x00007FF714DB7C2A] 	(No symbol) [0x00007FF714DE02F3] 	(No symbol) [0x00007FF714DB7A03] 	(No symbol) [0x00007FF714D806D0] 	(No symbol) [0x00007FF714D81983] 	GetHandleVerifier [0x00007FF7152A67CD+3579853] 	GetHandleVerifier [0x00007FF7152BD1D2+3672530] 	GetHandleVerifier [0x00007FF7152B2153+3627347] 	GetHandleVerifier [0x00007FF71501092A+868650] 	(No symbol) [0x00007FF714EB2FFF] 	(No symbol) [0x00007FF714EAF4A4] 	(No symbol) [0x00007FF714EAF646],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
406046710450,63058,sgsocket.com,0,1,# Skipped because can't be reached,,,,,,,,,,
162824276419,65282,4tunaporn.com,0,1,No cookie dialog found during visit,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
618535746085,68515,freecadweb.org,0,1,No cookie dialog found during visit,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
932261666358,69876,promotor.ro,0,1,Normal visit,"Nouă ne pasă ca datele tale personale să rămână confidențiale Noi și partenerii noștri 872 stocăm și/sau accesăm informații pe dispozitivul dvs., precum identificatorii cookie unici pentru prelucrarea datelor cu caracter personal. Puteți accepta sau gestiona preferințele dvs. făcând clic mai jos, respectiv vă puteți opune utilizării unui interes legitim în orice moment pe pagina cu politica de confidențialitate. Aceste alegeri vor fi raportate partenerilor noștri și nu vă vor afecta navigarea.Mai multe detalii Noi si partenerii nostri (retelele de socializare si agentiile de publicitate partenere, precum si furnizorii nostri de servicii de date analitice) prelucram date pentru a permite website-ului sa functioneze, pentru a personaliza continutul si anunturile publicitare afisate in functie de interesele si/sau profilul dvs., pentru a va oferi functionalitati aferente retelelor de socializare si pentru a analiza traficul pe website. Beneficiati de drepturile prevazute de art. 15-22 din GDPR in legatura cu",,,0,606,"rgba(0, 0, 0, 1)","rgba(0, 0, 0, 0)",1887,327.359,327.359
